"","ID_chat","Saison","Annee","akde","Session","Age","Sex","Type_GPS","Outdoor_access","sum.DRR","sum.RR","mean.TM","mean.FXY","Monitoring_time","Outdoor_access2","Saison2","daily.RR","buffer100","buffer250","buffer500","id_owner"
"30","19","printemps","2021",7943.72124588441,1,2,"F","blanc","libreJour",587,3.8,10.91,6.64,9,"restricted","spring",0.422222222222222,0.715189873417722,0.899643402954661,0.945491594498217,8
"31","19","automne","2020",2340.8303762488,1,2,"F","blanc","libreJour",1601,16.1,12.8,9.525,7,"restricted","fall",2.3,0.715189873417722,0.899643402954661,0.945491594498217,8
"32","19","hiver","2020",1275.10753465853,1,1,"F","gris","libreJour",2954,52.5,5.99,11.83,9,"restricted","winter",5.83333333333333,0.715189873417722,0.899643402954661,0.945491594498217,8
"33","20","ete","2020",2752.63785846316,1,5,"F","gris","libre",246,7.1,21.9428571428571,7.31428571428571,6,"unrestricted","summer",1.18333333333333,0.288888888888889,0.463812436289501,0.465613856342333,9
"34","20","hiver","2020",1947.36326527408,1,4,"F","gris","libre",2954,52.5,5.99,11.83,9,"unrestricted","winter",5.83333333333333,0.288888888888889,0.463812436289501,0.465613856342333,9
"35","21","printemps","2020",12084.1045695218,1,1,"F","blanc","libre",217,3.8,17.1333333333333,7.03333333333333,8,"unrestricted","spring",0.475,0.00955414012738853,0.27967396841569,0.634730538922156,6
"36","22","ete","2020",1364.92806792774,1,18,"F","gris","libre",NA,27.6,25.33,NA,9,"unrestricted","summer",3.06666666666667,0.00321543408360129,0.0578893442622951,0.135179984682155,45
"37","22","printemps","2020",1074.13429406755,1,18,"F","gris","libre",247,3.6,13.425,7.35,3,"unrestricted","spring",1.2,0.00321543408360129,0.0578893442622951,0.135179984682155,45
"38","23","ete","2020",1510.1531872919,1,9,"M","blanc","libre",535,27.4,25.15,NA,3,"unrestricted","summer",9.13333333333333,0.00321543408360129,0.0578893442622951,0.135179984682155,45
"39","27","ete","2020",11368.0088684513,1,1,"M","blanc","libre",1,0.4,22.45,6.5,3,"unrestricted","summer",0.133333333333333,0.053968253968254,0.146142054164538,0.42223920519679,46
"40","27","automne","2020",4848.25914258371,1,1,"M","blanc","libre",761,7.2,10.8,9.375,3,"unrestricted","fall",2.4,0.053968253968254,0.146142054164538,0.42223920519679,46
"41","28","automne","2020",1324.08127761123,1,3,"F","blanc","demande",NA,16.3,9.42857142857143,6.05714285714286,6,"restricted","fall",2.71666666666667,0.0707395498392283,0.103465851172273,0.453027405991077,10
"42","28","automne","2021",2020.41092983103,1,4,"F","blanc","demande",1665,24.9,9.4,6.98333333333333,11,"restricted","fall",2.26363636363636,0.0707395498392283,0.103465851172273,0.453027405991077,10
"43","28","printemps","2021",968.818693115733,1,4,"F","blanc","demande",662,3.8,11.0181818181818,6.69090909090909,10,"restricted","spring",0.38,0.0707395498392283,0.103465851172273,0.453027405991077,10
"44","28","hiver","2021",4286.55337464617,1,4,"F","blanc","demande",NA,44.8,5.48181818181818,7.92727272727273,10,"restricted","winter",4.48,0.0707395498392283,0.103465851172273,0.453027405991077,10
"45","28","ete","2021",955.725743698498,1,4,"F","blanc","demande",NA,60.8,17.7888888888889,6.31111111111111,8,"restricted","summer",7.6,0.0707395498392283,0.103465851172273,0.453027405991077,10
"46","31","automne","2020",5660.43288977686,1,3,"M","blanc","demande",798,7.2,11.24,6.5,9,"restricted","fall",0.8,0.126182965299685,0.343542623787647,0.56,11
"47","31","ete","2021",3975.82961841827,1,4,"M","blanc","demande",272,7.7,20.9888888888889,5.84444444444444,8,"restricted","summer",0.9625,0.126182965299685,0.343542623787647,0.56,11
"48","31","hiver","2021",4873.47980882806,2,3,"M","blanc","demande",NA,56.2,8.01578947368421,8.31052631578947,8,"restricted","winter",7.025,0.126182965299685,0.343542623787647,0.56,11
"49","31","printemps","2021",5759.74965072341,1,3,"M","blanc","demande",121,1.6,11.4777777777778,6.94444444444444,8,"restricted","spring",0.2,0.126182965299685,0.343542623787647,0.56,11
"50","32","automne","2020",6134.75273354118,1,3,"M","blanc","libre",1601,16.1,12.8,9.525,7,"unrestricted","fall",2.3,0.572784810126582,0.665474974463738,0.710754332313965,12
"51","32","ete","2021",1391.92789086908,1,4,"M","gris","libre",NA,8.8,18.65,6.375,7,"unrestricted","summer",1.25714285714286,0.572784810126582,0.665474974463738,0.710754332313965,12
"52","32","automne","2021",1311.52378187868,1,4,"M","gris","libre",1544,24.9,10.3444444444444,7.43333333333333,8,"unrestricted","fall",3.1125,0.572784810126582,0.665474974463738,0.710754332313965,12
"53","33","printemps","2021",2082.4942604878,1,8,"M","gris","libre",1505,29.3,13.1333333333333,8.92222222222222,8,"unrestricted","spring",3.6625,1,0.107942973523422,0.185779816513761,13
"54","33","hiver","2021",6417.67411579542,1,8,"M","blanc","libre",471,3,9.2,6.27,9,"unrestricted","winter",0.333333333333333,1,0.107942973523422,0.185779816513761,13
"55","34","automne","2020",1118.06894198808,1,8,"F","blanc","libre",1659,16.3,12.7222222222222,9.45555555555556,8,"unrestricted","fall",2.0375,1,0.107942973523422,0.185779816513761,13
"56","34","printemps","2021",1563.91421064754,1,8,"F","gris","libre",1505,29.3,13.1333333333333,8.92222222222222,8,"unrestricted","spring",3.6625,1,0.107942973523422,0.185779816513761,13
"57","34","hiver","2021",4497.18013219326,1,8,"F","blanc","libre",378,2.2,9.32222222222222,6.21111111111111,8,"unrestricted","winter",0.275,1,0.107942973523422,0.185779816513761,13
"58","35","automne","2020",1821.83105545843,1,11,"M","gris","libre",1390,11.8,12.0222222222222,9.26666666666667,8,"unrestricted","fall",1.475,0.0700636942675159,0.322613578356304,0.466386554621849,14
"59","35","hiver","2021",938.808945712705,1,12,"M","blanc","libreJour",427,7.2,10.3833333333333,7.45,5,"restricted","winter",1.44,0.0700636942675159,0.322613578356304,0.466386554621849,14
"60","37","automne","2021",1319.22734829816,1,2,"F","gris","demandeJour",NA,24.9,8.76666666666667,6.53333333333333,14,"restricted","fall",1.77857142857143,0.668789808917197,0.621057985757884,0.710646968925115,16
"61","37","ete","2021",1728.19406085529,1,1,"F","gris","libreJour",NA,70,17.9705882352941,6.32941176470588,16,"restricted","summer",4.375,0.668789808917197,0.621057985757884,0.710646968925115,16
"62","37","hiver","2021",1159.72598110542,1,1,"F","gris","demandeJour",NA,9.8,2.58461538461538,7.75384615384615,12,"restricted","winter",0.816666666666667,0.668789808917197,0.621057985757884,0.710646968925115,16
"63","37","printemps","2021",1035.46914949086,1,1,"F","gris","demandeJour",121,1.6,11.4777777777778,6.94444444444444,8,"restricted","spring",0.2,0.668789808917197,0.621057985757884,0.710646968925115,16
"64","38","ete","2021",1599.54051109541,1,4,"M","gris","libre",49,0.4,20.45,6.65,7,"unrestricted","summer",0.0571428571428571,0.379746835443038,0.65765306122449,0.63230984838833,17
